species	family	node	filtered_hits	short
E.maximus_E	Mir-331	Eutheria	1	E.maximus_E
E.maximus_E	Mir-337	Eutheria	1	E.maximus_E
E.maximus_E	Mir-338	Vertebrata	1	E.maximus_E
E.maximus_E	Mir-339	Eutheria	1	E.maximus_E
E.maximus_E	Mir-34	Bilateria	5	E.maximus_E
E.maximus_E	Mir-340	Theria	1	E.maximus_E
E.maximus_E	Mir-342	Eutheria	1	E.maximus_E
E.maximus_E	Mir-345	Eutheria	1	E.maximus_E
E.maximus_E	Mir-350	Eutheria	1	E.maximus_E
E.maximus_E	Mir-361	Eutheria	1	E.maximus_E
E.maximus_E	Mir-3613	Theria	1	E.maximus_E
E.maximus_E	Mir-362	Eutheria	4	E.maximus_E
E.maximus_E	Mir-374	Eutheria	1	E.maximus_E
E.maximus_E	Mir-375	Bilateria	1	E.maximus_E
E.maximus_E	Mir-376	Eutheria	5	E.maximus_E
E.maximus_E	Mir-383	Tetrapoda	1	E.maximus_E
E.maximus_E	Mir-384	Eutheria	1	E.maximus_E
E.maximus_E	Mir-423	Eutheria	1	E.maximus_E
E.maximus_E	Mir-425	Gnathostomata	1	E.maximus_E
E.maximus_E	Mir-430	Vertebrata	9	E.maximus_E
E.maximus_E	Mir-431	Eutheria	1	E.maximus_E
E.maximus_E	Mir-433	Eutheria	1	E.maximus_E
E.maximus_E	Mir-448	Eutheria	1	E.maximus_E
E.maximus_E	Mir-450	Eutheria	3	E.maximus_E
E.maximus_E	Mir-451	Vertebrata	1	E.maximus_E
E.maximus_E	Mir-452	Eutheria	1	E.maximus_E
E.maximus_E	Mir-455	Vertebrata	1	E.maximus_E
E.maximus_E	Mir-459	Vertebrata	1	E.maximus_E
E.maximus_E	Mir-486	Eutheria	1	E.maximus_E
E.maximus_E	Mir-488	Eutheria	1	E.maximus_E
E.maximus_E	Mir-489	Osteichthyes	1	E.maximus_E
E.maximus_E	Mir-490	Amniota	1	E.maximus_E
E.maximus_E	Mir-499	Vertebrata	1	E.maximus_E
E.maximus_E	Mir-505	Eutheria	1	E.maximus_E
E.maximus_E	Mir-506	Eutheria	12	E.maximus_E
E.maximus_E	Mir-541	Eutheria	1	E.maximus_E
E.maximus_E	Mir-542	Eutheria	1	E.maximus_E
E.maximus_E	Mir-544	Eutheria	1	E.maximus_E
E.maximus_E	Mir-551	Vertebrata	2	E.maximus_E
E.maximus_E	Mir-582	Eutheria	1	E.maximus_E
E.maximus_E	Mir-592	Eutheria	1	E.maximus_E
E.maximus_E	Mir-599	Sarcopterygii	1	E.maximus_E
E.maximus_E	Mir-615	Eutheria	1	E.maximus_E
E.maximus_E	Mir-652	Eutheria	1	E.maximus_E
E.maximus_E	Mir-6529	Eutheria	1	E.maximus_E
E.maximus_E	Mir-670	Eutheria	1	E.maximus_E
