species	family	node	filtered_hits	short
Latimeria_chalumnae	Mir-26	Vertebrata	3	L.chalumne
Latimeria_chalumnae	Mir-27	Vertebrata	4	L.chalumne
Latimeria_chalumnae	Mir-29	Bilateria	5	L.chalumne
Latimeria_chalumnae	Mir-2970	Sarcopterygii	1	L.chalumne
Latimeria_chalumnae	Mir-30	Vertebrata	6	L.chalumne
Latimeria_chalumnae	Mir-31	Bilateria	1	L.chalumne
Latimeria_chalumnae	Mir-32	Gnathostomata	1	L.chalumne
Latimeria_chalumnae	Mir-33	Bilateria	2	L.chalumne
Latimeria_chalumnae	Mir-338	Vertebrata	2	L.chalumne
Latimeria_chalumnae	Mir-34	Bilateria	7	L.chalumne
Latimeria_chalumnae	Mir-375	Bilateria	1	L.chalumne
Latimeria_chalumnae	Mir-451	Vertebrata	1	L.chalumne
Latimeria_chalumnae	Mir-455	Vertebrata	1	L.chalumne
Latimeria_chalumnae	Mir-456	Vertebrata	1	L.chalumne
Latimeria_chalumnae	Mir-458	Osteichthyes	1	L.chalumne
Latimeria_chalumnae	Mir-460	Osteichthyes	2	L.chalumne
Latimeria_chalumnae	Mir-489	Osteichthyes	1	L.chalumne
Latimeria_chalumnae	Mir-499	Vertebrata	1	L.chalumne
Latimeria_chalumnae	Mir-551	Vertebrata	2	L.chalumne
Latimeria_chalumnae	Mir-599	Sarcopterygii	1	L.chalumne
Latimeria_chalumnae	Mir-7	Bilateria	4	L.chalumne
Latimeria_chalumnae	Mir-7147	Osteichthyes	1	L.chalumne
Latimeria_chalumnae	Mir-722	Osteichthyes	1	L.chalumne
Latimeria_chalumnae	Mir-725	Gnathostomata	1	L.chalumne
