family	species	short	node	fpc	fnc	model	difference
Mir-7147	Anolis_carolinensis	aca	Osteichthyes	0	0	mirmachine	NA
Mir-725	Anolis_carolinensis	aca	Gnathostomata	0	0	mirmachine	NA
Mir-726	Anolis_carolinensis	aca	Osteichthyes	0	0	mirmachine	NA
Mir-727	Anolis_carolinensis	aca	Osteichthyes	0	0	mirmachine	NA
Mir-737	Anolis_carolinensis	aca	Osteichthyes	0	0	mirmachine	NA
Mir-8	Anolis_carolinensis	aca	Bilateria	0	0	mirmachine	NA
Mir-875	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-9	Anolis_carolinensis	aca	Bilateria	0	0	mirmachine	NA
Mir-92	Anolis_carolinensis	aca	Bilateria	0	0	mirmachine	NA
Mir-96	Anolis_carolinensis	aca	Bilateria	0	0	mirmachine	NA
Bantam	Ascaris_suum	asu	Protostomia	0	2	mirmachine	-1
Let-7	Ascaris_suum	asu	Bilateria	0	1	mirmachine	-1
Mir-1	Ascaris_suum	asu	Bilateria	0	0	mirmachine	NA
Mir-10	Ascaris_suum	asu	Eumetazoa	0	4	mirmachine	-1
Mir-1175	Ascaris_suum	asu	Protostomia	0	1	mirmachine	-1
Mir-124	Ascaris_suum	asu	Bilateria	0	0	mirmachine	NA
Mir-133	Ascaris_suum	asu	Bilateria	0	0	mirmachine	NA
Mir-137	Ascaris_suum	asu	Bilateria	0	0	mirmachine	NA
Mir-153	Ascaris_suum	asu	Bilateria	0	0	mirmachine	NA
Mir-184	Ascaris_suum	asu	Bilateria	0	0	mirmachine	NA
Mir-190	Ascaris_suum	asu	Bilateria	0	1	mirmachine	-1
Mir-2	Ascaris_suum	asu	Protostomia	5	3	mirmachine	1
Mir-216	Ascaris_suum	asu	Bilateria	0	2	mirmachine	-1
Mir-22	Ascaris_suum	asu	Bilateria	0	1	mirmachine	-1
Mir-242	Ascaris_suum	asu	Bilateria	0	0	mirmachine	NA
Mir-252	Ascaris_suum	asu	Bilateria	0	0	mirmachine	NA
Mir-279	Ascaris_suum	asu	Protostomia	0	0	mirmachine	NA
Mir-281	Ascaris_suum	asu	Bilateria	0	0	mirmachine	NA
Mir-29	Ascaris_suum	asu	Bilateria	0	1	mirmachine	-1
Mir-305	Ascaris_suum	asu	Ecdysozoa	0	1	mirmachine	-1
Mir-31	Ascaris_suum	asu	Bilateria	0	0	mirmachine	NA
Mir-33	Ascaris_suum	asu	Bilateria	0	0	mirmachine	NA
Mir-34	Ascaris_suum	asu	Bilateria	0	0	mirmachine	NA
Mir-36	Ascaris_suum	asu	Protostomia	0	4	mirmachine	-1
Mir-375	Ascaris_suum	asu	Bilateria	0	0	mirmachine	NA
Mir-67	Ascaris_suum	asu	Protostomia	1	0	mirmachine	1
Mir-7	Ascaris_suum	asu	Bilateria	0	0	mirmachine	NA
Mir-71	Ascaris_suum	asu	Bilateria	0	0	mirmachine	NA
Mir-750	Ascaris_suum	asu	Protostomia	0	0	mirmachine	NA
Mir-76	Ascaris_suum	asu	Bilateria	0	0	mirmachine	NA
Mir-8	Ascaris_suum	asu	Bilateria	0	0	mirmachine	NA
Mir-87	Ascaris_suum	asu	Protostomia	0	0	mirmachine	NA
Mir-9	Ascaris_suum	asu	Bilateria	0	0	mirmachine	NA
Mir-92	Ascaris_suum	asu	Bilateria	0	0	mirmachine	NA
Mir-96	Ascaris_suum	asu	Bilateria	0	0	mirmachine	NA
Bantam	Blattella_germanica	bge	Protostomia	0	0	mirmachine	NA
Iab-4	Blattella_germanica	bge	Arthropoda	0	0	mirmachine	NA
Let-7	Blattella_germanica	bge	Bilateria	0	0	mirmachine	NA
Mir-1	Blattella_germanica	bge	Bilateria	0	0	mirmachine	NA
